Sticker Number,Serial Number,Reinspection Version,Date,Terminal,Registration #,isAllPass?,Scale Registered,Scale Legal for Trade,Security Seal,Results,Type of Scale,Test 0 lbs,Test 50 lbs,Test 100 lbs,Test 150 lbs,Test 200 lbs,Test 250 lbs,Test 300 lbs,Test 350 lbs,Test 400 lbs,Test 450 lbs,Test 500 lbs,Test 550 lbs,Test 600 lbs,Test Second 0 lbs,Negative Error Difference Total,Positive Error Difference Total,Fail Negative Error Difference Total,Fail Positive Error Difference Total
NaN,831856,1,10/30/2023,A,98734,No,NaN,NaN,NaN,Condemned,"<= 1,000 lbs",Pass,Fail,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,0.60001,NaN,0.40000,NaN
001775-23,13762-8,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001765-23,831856,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001764-23,304-23,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001770-23,831625,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed Subject,"<= 1,000 lbs",Pass,Pass,Fail,Pass,Fail,Pass,Fail,NaN,NaN,NaN,NaN,NaN,NaN,Pass,1.00000,0.20000,0.60000,0.20000
001771-23,831824,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed Subject,"<= 1,000 lbs",Pass,Pass,Fail,Pass,Pass,Pass,Fail,NaN,NaN,NaN,NaN,NaN,NaN,Pass,0.80001,49.80000,0.20001,49.80000
001772-23,401-23,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Fail,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,0.20001,NaN,0.20001
001774-23,831190,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Fail,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,0.20001,NaN,0.20001
001773-23,404-23,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
00678-23C,831415,2,10/30/2023,A,98734,No,Fail,NaN,NaN,Condemned,"<= 1,000 lbs",Fail,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,38.60000,NaN,38.60000
001648-23,SIL2071,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
